"Item Type","Show or Playlist","Host","Episode","Theme","Set","Playlist Number","Title","Artist","Album","Status"
"Track","Virtual Soundscapes","Matt Hurtado","56","Horror Special (2025)","Intro","01","Theme Of Laura (from ""Silent Hill 2"")","Geek Music","The Best Video Game Music, Vol. 3",""
"Track","Virtual Soundscapes","Matt Hurtado","56","Horror Special (2025)","Set 1","02","U Got That (From ""Helltaker"")","Geek Music","The Best Video Game Music, Vol. 6",""
"Track","Virtual Soundscapes","Matt Hurtado","56","Horror Special (2025)","Set 1","03","Build Our Machine (From ""Bendy And The Ink Machine"")","Geek Music","The Best Video Game Music, Vol. 6",""
"Track","Virtual Soundscapes","Matt Hurtado","56","Horror Special (2025)","Set 1","04","Can't Be Erased (From ""Bendy And The Ink Machine"")","Geek Music","The Best Video Game Music, Vol. 6",""
"Track","Virtual Soundscapes","Matt Hurtado","56","Horror Special (2025)","Set 2","05","Portal 2 : End Credits : Want You Gone","Geek Music","The Best Video Game Music, Vol. 4",""
"Track","Virtual Soundscapes","Matt Hurtado","56","Horror Special (2025)","Set 2","06","Join Us For A Bite (From ""Five Nights At Freddy's - Sister Location"")","Geek Music","The Best Video Game Music, Vol. 6",""
"Track","Virtual Soundscapes","Matt Hurtado","56","Horror Special (2025)","Set 2","07","You Can't Hide (From ""Five Nights At Freddy's - Sister Location"")","Geek Music","The Best Video Game Music, Vol. 6",""
"Track","Virtual Soundscapes","Matt Hurtado","56","Horror Special (2025)","Set 3","08","Five Nights At Freddy's 1 (From ""Five Nights At Freddy's"")","Geek Music","The Best Video Game Music, Vol. 6",""
"Track","Virtual Soundscapes","Matt Hurtado","56","Horror Special (2025)","Set 3","09","Never Say Never The Animation (From ""Danganronpa"")","Geek Music","The Best Video Game Music, Vol. 6",""
"Track","Virtual Soundscapes","Matt Hurtado","56","Horror Special (2025)","Set 3","10","Rambley Review","RecD & Jakeneutron feat. OtterBoyVA","Indigo Park, Chapter 1 (Original Game Soundtrack)",""
"Track","Virtual Soundscapes","Matt Hurtado","56","Horror Special (2025)","Set 4","11","Silent Hill F - Soundtrack - Hougejaku","Ruba","Silent Hill F - Soundtrack - Hougejaku",""
"Track","Virtual Soundscapes","Matt Hurtado","56","Horror Special (2025)","Set 4","12","Silent Hill F - Soundtrack - The Bird's Lament","Ruba","Silent Hill F - Soundtrack - The Bird's Lament",""
"Track","Virtual Soundscapes","Matt Hurtado","56","Horror Special (2025)","Set 4","13","Silent Hill F - Soundtrack - The Wet Garden, Corridors of Darkness","Ruba","Silent Hill F - Soundtrack - The Wet Garden, Corridors of Darkness",""
"Track","Virtual Soundscapes","Matt Hurtado","56","Horror Special (2025)","Set 4","14","Silent Hill F - Soundtrack - TSUKIYONOINERIME","Ruba","Silent Hill F - Soundtrack - TSUKIYONOINERIME",""
"Track","Virtual Soundscapes","Matt Hurtado","56","Horror Special (2025)","Outro","15","LITTLE NIGHTMARES 3 SONG | Rockit Music","Rockit Music","LITTLE NIGHTMARES 3 SONG | Rockit Music",""
