"Item Type","Show or Playlist","Host","Episode","Theme","Set","Playlist Number","Title","Artist","Album","Status"
"Track","Virtual Soundscapes","Matt Hurtado","60","Dealing With Grief","Intro","01","Dearly Beloved","Kaoru Wada","Kingdom Hearts HD 2.5 ReMIX Original Soundtrack",""
"Track","Virtual Soundscapes","Matt Hurtado","60","Dealing With Grief","Set 1","02","END TITLE / THE BEST IS YET TO COME","Aoife Ní Fhearraigh / Rika Muranaka","METAL GEAR SOLID Music CD",""
"Track","Virtual Soundscapes","Matt Hurtado","60","Dealing With Grief","Set 1","03","Our Light","","PERSONA 5 ROYAL THE SOUNDTRACK (2020",""
"Track","Virtual Soundscapes","Matt Hurtado","60","Dealing With Grief","Set 1","04","Never Forget","Martin O'Donnell;Michael Salvatori","Halo 3 Original Soundtrack",""
"Track","Virtual Soundscapes","Matt Hurtado","60","Dealing With Grief","Set 2","05","Mother, I'm Here (Zulf's Theme)","Darren Korb","Bastion Original Soundtrack",""
"Track","Virtual Soundscapes","Matt Hurtado","60","Dealing With Grief","Set 2","06","We All Become","Darren Korb","Transistor: Original Soundtrack",""
"Track","Virtual Soundscapes","Matt Hurtado","60","Dealing With Grief","Set 2","07","I was Born for This","Austin Wintory","Journey",""
"Track","Virtual Soundscapes","Matt Hurtado","60","Dealing With Grief","Set 3","08","Everything's Alright","Laura Shigihara","To the Moon Original Soundtrack",""
"Track","Virtual Soundscapes","Matt Hurtado","60","Dealing With Grief","Set 3","09","Memories of You -Reload-","Azumi Takahashi / ATLUS Sound Team / ATLUS GAME MUSIC","Persona 3 Reload Original Soundtrack",""
"Track","Virtual Soundscapes","Matt Hurtado","60","Dealing With Grief","Set 3","10","Good Riddance (ft. Ashley Barrett)","Darren Korb","Hades: Original Soundtrack",""
"Track","Virtual Soundscapes","Matt Hurtado","60","Dealing With Grief","Set 4","11","BB's Theme (2022) (feat. Troy Baker)","Ludvig Forssell, Troy Baker","Death Stranding 2: On The Beach (Original Video Game Score)",""
"Track","Virtual Soundscapes","Matt Hurtado","60","Dealing With Grief","Set 4","12","What Will You Leave Behind (End Titles) [feat. Maude Plante-Husaruk]","Max LL","Spiritfarer (Original Soundtrack) [Farewell Edition]",""
"Track","Virtual Soundscapes","Matt Hurtado","60","Dealing With Grief","Set 4","13","Nier Automata - Weight of the World - Marina Kawano","","Nier Automata",""
"Track","Virtual Soundscapes","Matt Hurtado","60","Dealing With Grief","Outro","14","Nier Replicant - Ashes of Dreams ⧸ English Version","","Nier Replicant",""
