"Item Type","Show or Playlist","Host","Episode","Theme","Set","Playlist Number","Title","Artist","Album","Status"
"Track","Virtual Soundscapes","Matt Hurtado","62","Grand Theft Auto - Miami","Intro","01","Waiting for a Girl Like You","Foreigner","Rock of Ages (2009 original Broadway cast)",""
"Track","Virtual Soundscapes","Matt Hurtado","62","Grand Theft Auto - Miami","Set 1","02","Love Bites","Def Leppard","Rock of Ages: The DVD Collection",""
"Track","Virtual Soundscapes","Matt Hurtado","62","Grand Theft Auto - Miami","Set 1","03","Cars and Girls","Prefab Sprout","1990-10-15: Guildhall, Portsmouth, UK",""
"Track","Virtual Soundscapes","Matt Hurtado","62","Grand Theft Auto - Miami","Set 1","04","People Are People","Götz Alsmann & The Sentimental Pounders","Pop Swings!",""
"Track","Virtual Soundscapes","Matt Hurtado","62","Grand Theft Auto - Miami","Set 2","05","But I Think It's a Dream","Captain & Tennille","Keeping Our Love Warm",""
"Track","Virtual Soundscapes","Matt Hurtado","62","Grand Theft Auto - Miami","Set 2","06","Devil Woman","Cliff Richard","Songwriters Speak",""
"Track","Virtual Soundscapes","Matt Hurtado","62","Grand Theft Auto - Miami","Set 2","07","Against All Odds","Phil Collins","In Concert",""
"Track","Virtual Soundscapes","Matt Hurtado","62","Grand Theft Auto - Miami","Set 3","08","Mine O' Mine","Aluna; Jayda G","MYCELiUM",""
"Track","Virtual Soundscapes","Matt Hurtado","62","Grand Theft Auto - Miami","Set 3","09","Inner Light","Elderbrook; Bob Moses","Totally Dancev",""
"Track","Virtual Soundscapes","Matt Hurtado","62","Grand Theft Auto - Miami","Set 3","10","Let Your Love Flow","The Bellamy Brothers","Best of the Best, Volume 2",""
"Track","Virtual Soundscapes","Matt Hurtado","62","Grand Theft Auto - Miami","Set 4","11","Out of Touch","Hall & Oates","",""
"Track","Virtual Soundscapes","Matt Hurtado","62","Grand Theft Auto - Miami","Set 4","12","I Just Died in Your Arms","Resource","Pioneer: The Album, Volume 3",""
"Track","Virtual Soundscapes","Matt Hurtado","62","Grand Theft Auto - Miami","Set 4","13","Expansions","Lonnie Liston Smith","Jazz Moods 2",""
"Track","Virtual Soundscapes","Matt Hurtado","62","Grand Theft Auto - Miami","Outro","14","Kool & The Gang - Summer Madness","DJ Jedi","",""
