"Item Type","Show or Playlist","Host","Episode","Theme","Set","Playlist Number","Title","Artist","Album","Status"
"Track","Virtual Soundscapes","Matt Hurtado","63","Get Some Rest","Intro","01","Through The Middle","Tessa Rose Jackson","Life is Strange: Reunion (Original Game Soundtrack)",""
"Track","Virtual Soundscapes","Matt Hurtado","63","Get Some Rest","Set 1","02","Open Your Eyes","Innata Vita","The King Is Watching (Original Game Soundtrack)",""
"Track","Virtual Soundscapes","Matt Hurtado","63","Get Some Rest","Set 1","03","Relaxing Sounds: Campfire","Shota Kageyama","Pokémon Sleep",""
"Track","Virtual Soundscapes","Matt Hurtado","63","Get Some Rest","Set 1","04","Star Spirits' Request","Yuka Tsujiyoko","Paper Mario - Original Soundtrack",""
"Track","Virtual Soundscapes","Matt Hurtado","63","Get Some Rest","Set 2","05","Head in the Clouds","Yann Van Der Cruyssen","Hozy Original Game Soundtrack",""
"Track","Virtual Soundscapes","Matt Hurtado","63","Get Some Rest","Set 2","06","Home Again","Alec Holowka","Night in the Woods Original Soundtrack Vol. 1: At The End Of Everything",""
"Track","Virtual Soundscapes","Matt Hurtado","63","Get Some Rest","Set 2","07","Night on the Island (Outside)","Nintendo","Tomodachi Life Living the Dream",""
"Track","Virtual Soundscapes","Matt Hurtado","63","Get Some Rest","Set 3","08","Field Desert At Night","","Octopath Traveler 0",""
"Track","Virtual Soundscapes","Matt Hurtado","63","Get Some Rest","Set 3","09","In the Blue Moonlight","Artive Sound & haru","In The Blue Moonlight Original Soundtrack",""
"Track","Virtual Soundscapes","Matt Hurtado","63","Get Some Rest","Set 3","10","Zora's Domain (Night)","Yasuaki Iwata","The Legend of Zelda: Breath of the Wild - Expanded Soundtrack V4",""
"Track","Virtual Soundscapes","Matt Hurtado","63","Get Some Rest","Set 3","11","Good Morning, New Day","Shoji Meguro","Catherine & Catherine Full Body Soundtrack Set",""
"Track","Virtual Soundscapes","Matt Hurtado","63","Get Some Rest","Outro","12","Streched Enlightenment","","Dream Soundtrack",""
