"Item Type","Show or Playlist","Host","Episode","Theme","Set","Playlist Number","Title","Artist","Album","Status"
"Track","Virtual Soundscapes","Matt Hurtado","65","Legend of Zelda - 40th Anniversary","Intro","01","Link's Awakening Medley 2024","Nintendo","Zelda Concert 2024",""
"Track","Virtual Soundscapes","Matt Hurtado","65","Legend of Zelda - 40th Anniversary","Set 1","02","Chamber of the Goddess [A Link to the Past]","Disasterpeace","25 Year Legend: A Legend of Zelda Indie Game Composer Tribute",""
"Track","Virtual Soundscapes","Matt Hurtado","65","Legend of Zelda - 40th Anniversary","Set 1","03","The Legend of Zelda (Game Boy Version) - ""To the Island of Dreams""","Tokyo City Philharmonic Orchestra","Game Music Concert 3 - By Symphony Orchestra",""
"Track","Virtual Soundscapes","Matt Hurtado","65","Legend of Zelda - 40th Anniversary","Set 1","04","Suite from ""The Legend of Zelda: Ocarina of Time""","The Blueshift Big Band","Joystick Jazz, Vol. 1: The Blueshift Big Band Plays Iconic Video Game Hits",""
"Track","Virtual Soundscapes","Matt Hurtado","65","Legend of Zelda - 40th Anniversary","Set 2","05","Title Theme ~ The Hour of Twilight (from ""The Legend of Zelda: Twilight Princess"") (Lo-Fi Edit)","The Floor Is Lava","Video Game LoFi: Zelda Vol. 2 - Doors of Time",""
"Track","Virtual Soundscapes","Matt Hurtado","65","Legend of Zelda - 40th Anniversary","Set 2","06","The Windwaker/Paddy Fahey's Reel","The DIT Irish Traditional Music Ensemble","Eimear Noone Presents: The Celtic Link: Themes From ""The Legend of Zelda""",""
"Track","Virtual Soundscapes","Matt Hurtado","65","Legend of Zelda - 40th Anniversary","Set 2","07","Hyrule Castle","Manaka Kataoka","The Legend of Zelda: Breath of the Wild",""
"Track","Virtual Soundscapes","Matt Hurtado","65","Legend of Zelda - 40th Anniversary","Set 3","08","Rito Village (From ""The Legend Of Zelda: Breath Of The Wild"")","The Consouls","Korok Cafe",""
"Track","Virtual Soundscapes","Matt Hurtado","65","Legend of Zelda - 40th Anniversary","Set 3","09","Gerudo Valley (Redux)","Mariachi Entertainment System","Hecho En Hyrule",""
"Track","Virtual Soundscapes","Matt Hurtado","65","Legend of Zelda - 40th Anniversary","Outro","10","Movement IV - Time of the Falling Rain","Zelda Symphony and Choir","The Legend of Zelda - Symphony of the Goddesses - Master Quest",""
