"Item Type","Show or Playlist","Host","Episode","Theme","Set","Playlist Number","Title","Artist","Album","Duration","Script Text","Status"
"Track","Virtual Soundscapes","Matt Hurtado","Episode 52","Warframe","Intro","01","We All Lift Together","Warframe","Warframe | We All Lift Together","2:32","",""
"Track","Virtual Soundscapes","Matt Hurtado","Episode 52","Warframe","Set 1","02","Warframe | **SPOILER WARNING** | ‘For Narmer’ Official Song","PlayWarframe","Warframe | **SPOILER WARNING** | ‘For Narmer’ Official Song","3:39","",""
"Track","Virtual Soundscapes","Matt Hurtado","Episode 52","Warframe","Set 1","03","TennoCon 2025 | ""Lullaby of the Manifold"" (Official Music Video)","PlayWarframe","TennoCon 2025 | ""Lullaby of the Manifold"" (Official Music Video)","3:15","",""
"Track","Virtual Soundscapes","Matt Hurtado","Episode 52","Warframe","Set 1","04","Warframe - PARTY OF YOUR LIFETIME_ (Official Audio Visualizer","Warframe","Warframe 1999","3:36","",""
"Track","Virtual Soundscapes","Matt Hurtado","Episode 52","Warframe","Set 2","05","Symphony of Boreal Wind","Yu-Peng Chen","GENSHIN IMPACT - City of Winds and Idylls","4:51","",""
"Track","Virtual Soundscapes","Matt Hurtado","Episode 52","Warframe","Set 2","06","Sleeping In The Cold Below (From ""Warframe"")","Warframe","","3:31","",""
"Track","Virtual Soundscapes","Matt Hurtado","Episode 52","Warframe","Set 2","07","Arisa","井上馨太","STELLAR BLADE ORIGINAL SOUNDTRACK","5:31","",""
"Track","Virtual Soundscapes","Matt Hurtado","Episode 52","Warframe","Set 3","08","Mothersphere","井上馨太","STELLAR BLADE ORIGINAL SOUNDTRACK","6:33","",""
"Track","Virtual Soundscapes","Matt Hurtado","Episode 52","Warframe","Set 3","09","Shelter (Title)","Oliver Good","STELLAR BLADE ORIGINAL SOUNDTRACK","6:02","",""
"Track","Virtual Soundscapes","Matt Hurtado","Episode 52","Warframe","Set 3","10","Color Your Night","Lotus Juice / 高橋あず美","Persona 3 Reload Limited Box Original Soundtrack","3:47","",""
"Track","Virtual Soundscapes","Matt Hurtado","Episode 52","Warframe","Set 4","11","キミの記憶 -Reload-","高橋あず美","Persona 3 Reload Limited Box Original Soundtrack","6:39","",""
"Track","Virtual Soundscapes","Matt Hurtado","Episode 52","Warframe","Set 4","12","Wuthering Waves - De Anima On the Soul","jixwang","Wuthering Waves","3:05","",""
"Track","Virtual Soundscapes","Matt Hurtado","Episode 52","Warframe","Outro","13","Fountain of Dreams","Nintendo & HAL Laboratory, Inc.","Kirby Air Ride - Unofficial Soundtrack","2:40 planned / 5:06 file","",""
