"Item Type","Show or Playlist","Host","Episode","Theme","Set","Playlist Number","Title","Artist","Album","Status"
"Track","Virtual Soundscapes","Matt Hurtado","Episode 57","Twisted Metal (TV Show & Game)","Intro","01","Paint It Black","The Rolling Stones","Paint It Black / Lady Jane",""
"Track","Virtual Soundscapes","Matt Hurtado","Episode 57","Twisted Metal (TV Show & Game)","Set 1","02","The Coliseum (TMHO)","Various Artists","Twisted Metal Symphony",""
"Track","Virtual Soundscapes","Matt Hurtado","Episode 57","Twisted Metal (TV Show & Game)","Set 1","03","Los Angeles (TMHO)","Various Artists","Twisted Metal Symphony",""
"Track","Virtual Soundscapes","Matt Hurtado","Episode 57","Twisted Metal (TV Show & Game)","Set 1","04","Red Square (TMHO)","Various Artists","Twisted Metal Symphony",""
"Track","Virtual Soundscapes","Matt Hurtado","Episode 57","Twisted Metal (TV Show & Game)","Set 2","05","Champagne Supernova","Oasis","Back Where We Belong",""
"Track","Virtual Soundscapes","Matt Hurtado","Episode 57","Twisted Metal (TV Show & Game)","Set 2","06","Steal My Sunshine","LEN","Class of 02: Songs for Schoolies",""
"Track","Virtual Soundscapes","Matt Hurtado","Episode 57","Twisted Metal (TV Show & Game)","Set 2","07","Better Off Alone (Jam-X & Dumonde remix)","Alice DJ; JamX; DuMonde","Back in My Life",""
"Track","Virtual Soundscapes","Matt Hurtado","Episode 57","Twisted Metal (TV Show & Game)","Set 3","08","My Immortal","Evanescence","Bravo Hits 46",""
"Track","Virtual Soundscapes","Matt Hurtado","Episode 57","Twisted Metal (TV Show & Game)","Set 3","09","Party Hard","Andrew W.K.","I Get Wet",""
"Track","Virtual Soundscapes","Matt Hurtado","Episode 57","Twisted Metal (TV Show & Game)","Set 3","10","Flagpole Sitta","Austin Hartley-Leonard","Everywhere I've Never Been",""
"Track","Virtual Soundscapes","Matt Hurtado","Episode 57","Twisted Metal (TV Show & Game)","Set 4","11","What Is Love (7"" Mix)","Haddaway - Topic","What Is Love (7"" Mix)",""
"Track","Virtual Soundscapes","Matt Hurtado","Episode 57","Twisted Metal (TV Show & Game)","Set 4","12","Tokyo Streets Revisited (TMHO)","Various Artists","Twisted Metal Symphony",""
"Track","Virtual Soundscapes","Matt Hurtado","Episode 57","Twisted Metal (TV Show & Game)","Outro","13","Bon Voyage (TMHO)","Various Artists","Twisted Metal Symphony",""
