"Item Type","Show or Playlist","Host","Episode","Theme","Set","Playlist Number","Title","Artist","Album","Status"
"Track","Virtual Soundscapes","Matt Hurtado","Episode 58","Game of the Year Nominees","Intro","01","L'Amour d'une Mère","Lorien Testard & Alice Duport-Percier","Clair Obscur Expedition 33 Original Soundtrack (Act II)",""
"Track","Virtual Soundscapes","Matt Hurtado","Episode 58","Game of the Year Nominees","Set 1","02","Paintress","Lorien Testard & Alice Duport-Percier","Clair Obscur Expedition 33 Original Soundtrack (Act II)",""
"Track","Virtual Soundscapes","Matt Hurtado","Episode 58","Game of the Year Nominees","Set 1","03","Drifters- Ii Yu Dana (Nice Hot Water)","Notapplicable Provided","Drifters- Ii Yu Dana (Nice Hot Water)",""
"Track","Virtual Soundscapes","Matt Hurtado","Episode 58","Game of the Year Nominees","Set 1","04","Horizon Dreamer","Daichi Miura","Death Stranding 2 - Horizon Dreamer",""
"Track","Virtual Soundscapes","Matt Hurtado","Episode 58","Game of the Year Nominees","Set 2","05","BB's Theme (Instrumental)","Ludvig Forssell","Death Stranding Original Score Volume 2",""
"Track","Virtual Soundscapes","Matt Hurtado","Episode 58","Game of the Year Nominees","Set 2","06","The Crossroads","Darren Korb","Hades II (Original Soundtrack)",""
"Track","Virtual Soundscapes","Matt Hurtado","Episode 58","Game of the Year Nominees","Set 2","07","Sprigs of Sorrow","Darren Korb","Hades II (Original Soundtrack)",""
"Track","Virtual Soundscapes","Matt Hurtado","Episode 58","Game of the Year Nominees","Set 3","08","Greymoor","Christopher Larkin","Hollow Knight: Silksong (Original Soundtrack)",""
"Track","Virtual Soundscapes","Matt Hurtado","Episode 58","Game of the Year Nominees","Set 3","09","Awakening","Christopher Larkin","Hollow Knight: Silksong (Original Soundtrack)",""
"Track","Virtual Soundscapes","Matt Hurtado","Episode 58","Game of the Year Nominees","Set 3","10","Bone Bottom","Christopher Larkin","Hollow Knight: Silksong (Original Soundtrack)",""
"Track","Virtual Soundscapes","Matt Hurtado","Episode 58","Game of the Year Nominees","Set 4","11","Saint Barbara Theme","Jan Valta","Kingdom Come: Deliverance II - OST Essentials",""
"Track","Virtual Soundscapes","Matt Hurtado","Episode 58","Game of the Year Nominees","Set 4","12","Kuttenberg Market","Jan Valta","Kingdom Come: Deliverance II - OST Essentials",""
"Track","Virtual Soundscapes","Matt Hurtado","Episode 58","Game of the Year Nominees","Set 4","13","Soldier's Camp","Jan Valta","Kingdom Come: Deliverance II - OST Essentials",""
"Track","Virtual Soundscapes","Matt Hurtado","Episode 58","Game of the Year Nominees","Outro","14","Nameless Traveler","SEGA Sound Team","Like a Dragon: Pirate Yakuza in Hawaii (Original Soundtrack)",""
