"Item Type","Show or Playlist","Host","Episode","Theme","Set","Playlist Number","Title","Artist","Album","Status"
"Track","Virtual Soundscapes","Matt Hurtado","Episode 59","Chill Nights","Intro","01","2.30AM (VHS skyline)","","",""
"Track","Virtual Soundscapes","Matt Hurtado","Episode 59","Chill Nights","Set 1","02","Bishoujo Senshi Sailor Moon Super S Various Emotion - Track 5","","",""
"Track","Virtual Soundscapes","Matt Hurtado","Episode 59","Chill Nights","Set 1","03","Bishoujo Senshi Sailor Moon Super S Various Emotion - Track 8","","",""
"Track","Virtual Soundscapes","Matt Hurtado","Episode 59","Chill Nights","Set 1","04","52Hz (feat. RAY)","Artive Sound","52Hz (Original Game Soundtrack)",""
"Track","Virtual Soundscapes","Matt Hurtado","Episode 59","Chill Nights","Set 2","05","1993 Space Machine - Forest","","",""
"Track","Virtual Soundscapes","Matt Hurtado","Episode 59","Chill Nights","Set 2","06","1993 Space Machine - Level 1","","",""
"Track","Virtual Soundscapes","Matt Hurtado","Episode 59","Chill Nights","Set 2","07","Forgotten Forest (Levels)","Carl Larsson","Akimbo: Kung-Fu Hero",""
"Track","Virtual Soundscapes","Matt Hurtado","Episode 59","Chill Nights","Set 3","08","Main Menu","Carl Larsson","Akimbo: Kung-Fu Hero",""
"Track","Virtual Soundscapes","Matt Hurtado","Episode 59","Chill Nights","Set 3","09","Persona 3 Reload FeMC Mod ost:A night Wanderer","Bloo&Booette; the princess booOST sisters channel","",""
"Track","Virtual Soundscapes","Matt Hurtado","Episode 59","Chill Nights","Set 3","10","Evening Theme","Garrett Williamson","Date Everything! (Official Game Soundtrack)",""
"Track","Virtual Soundscapes","Matt Hurtado","Episode 59","Chill Nights","Set 4","11","Moonsurgent (Connie's Theme)","Fearofdark","Date Everything! (Official Game Soundtrack)",""
"Track","Virtual Soundscapes","Matt Hurtado","Episode 59","Chill Nights","Set 4","12","More Friends (Second Spirit Theme Suite)","Max LL","Spiritfarer (Original Soundtrack) [Farewell Edition]",""
"Track","Virtual Soundscapes","Matt Hurtado","Episode 59","Chill Nights","Set 4","13","Falling asleep to the sound of rain","glaciære","hammock",""
"Track","Virtual Soundscapes","Matt Hurtado","Episode 59","Chill Nights","Set 5","14","Persona 3 Reload FeMC Mod ost:Time (Night version)","Bloo&Booette; the princess booOST sisters channel","Persona 3 Reload FeMC Mod ost:Time (Night version)",""
"Track","Virtual Soundscapes","Matt Hurtado","Episode 59","Chill Nights","Set 5","15","Same Old Story (Instrumental)","Joel Baylis","Cassette Beasts (Original Soundtrack)",""
"Track","Virtual Soundscapes","Matt Hurtado","Episode 59","Chill Nights","Outro","16","Wherever We Are Now","Joel Baylis","Cassette Beasts (Original Soundtrack)",""
