"Item Type","Show or Playlist","Host","Episode","Theme","Set","Playlist Number","Title","Artist","Album","Status"
"Track","Virtual Soundscapes","Matt Hurtado","Episode 61","Assorted Video Game Music (2025-2026)","Intro","01","Lullaby of the Manifold","Warframe","Lullaby of the Manifold",""
"Track","Virtual Soundscapes","Matt Hurtado","Episode 61","Assorted Video Game Music (2025-2026)","Set 1","02","DAMIDAMI","Sihan, Sān-Z","Zenless Zone Zero - DAMIDAMI",""
"Track","Virtual Soundscapes","Matt Hurtado","Episode 61","Assorted Video Game Music (2025-2026)","Set 1","03","Tharsis Bossa","Michael Salvatori, C Paul Johnson, and Skye Lewin","Destiny 2: Renegades (Original Game Soundtrack)",""
"Track","Virtual Soundscapes","Matt Hurtado","Episode 61","Assorted Video Game Music (2025-2026)","Set 1","04","Never More","Shihoko Hirata","Persona 4 Golden (Steam): Digital Deluxe Soundtrack",""
"Track","Virtual Soundscapes","Matt Hurtado","Episode 61","Assorted Video Game Music (2025-2026)","Set 2","05","To the Wilder feat. Elle Fanning","Woodkid;Elle Fanning","WOODKID FOR DEATH STRANDING 2: ON THE BEACH",""
"Track","Virtual Soundscapes","Matt Hurtado","Episode 61","Assorted Video Game Music (2025-2026)","Set 2","06","The Full Story","Olivier Deriviere","South of Midnight (Original Game Soundtrack)",""
"Track","Virtual Soundscapes","Matt Hurtado","Episode 61","Assorted Video Game Music (2025-2026)","Set 2","07","Echoes of the End","Bandai Namco Game Music","Ace Combat X: Skies of Deception (Original Soundtrack)",""
"Track","Virtual Soundscapes","Matt Hurtado","Episode 61","Assorted Video Game Music (2025-2026)","Set 3","08","STRANGER THAN HEAVEN： Main Theme Song feat. Snoop Dog","","",""
"Track","Virtual Soundscapes","Matt Hurtado","Episode 61","Assorted Video Game Music (2025-2026)","Set 3","09","Zero Parades -Fogged Mirror","","",""
"Track","Virtual Soundscapes","Matt Hurtado","Episode 61","Assorted Video Game Music (2025-2026)","Set 3","10","Cairn - Only the Mountain","","",""
"Track","Virtual Soundscapes","Matt Hurtado","Episode 61","Assorted Video Game Music (2025-2026)","Set 4","11","Promise Mascot Agency  -Straight To The Sea","","",""
"Track","Virtual Soundscapes","Matt Hurtado","Episode 61","Assorted Video Game Music (2025-2026)","Set 4","12","RV THERE YET - Run Winnebago Run","","",""
"Track","Virtual Soundscapes","Matt Hurtado","Episode 61","Assorted Video Game Music (2025-2026)","Set 4","13","RV THERE YeT - Tiramisu, I Love You","","",""
"Track","Virtual Soundscapes","Matt Hurtado","Episode 61","Assorted Video Game Music (2025-2026)","Outro","14","I am Bread - Garden Music","","",""
